Snugg Pro ID,kWh Saved,Mbtu Saved,Annual Fuel Dollars Saved,Annual Electric Dollars Saved,Total Savings,CO2 Tons Diverted,Mbtu Percent,CO 2 Percent,Mirr,SIR,Annual Fuel Therms Saved,Year Built,Conditioned Area (sqft),Front of Building Orientation,Blower Door Reading,Blower Door Reading Improved,HVAC Duct Location,HVAC Duct Leakage Value,HVAC Duct Leakage Value Improved,HVAC Duct Efficiency,HVAC Duct Efficiency Improved,HVAC System Equipment Type,HVAC Heating Energy Source,HVAC Heating Is Condensing
263709,962.500049,6.7,120,121,241.31,6.7,8,7,4,0.8,34.18681871,1987.0,3579.0,North East,3285.0,2463.75,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Propane,Yes
264039,3329.122575,12.52,15,419,433.2,4.1,24,30,4,0.8,11.60639057,1964.0,1176.0,North East,2300.0,1725.0,50/50 Crawlspace (unconditioned) - Conditioned Space,0.0,0.0,90.82,91.07,Central Heat Pump (shared ducts),Electricity,
273621,2804.866909,9.58,0,353,352.85,9.0,9,9,6,1.1,0.0,1986.0,2846.0,West,4477.0,3357.75,50/50 Crawlspace (unconditioned) - Conditioned Space,0.0,0.0,78.21,100.0,Central Heat Pump (shared ducts),Electricity,
269980,716.5684075,2.44,0,91,90.14,4.5,5,5,46,0.0,0.0,1960.0,2752.0,South East,2144.0,1813.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
264803,3491.46341,11.91,0,439,439.23,9.6,10,11,8,1.7,0.0,1989.0,2359.0,South West,5337.0,4002.75,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,85.85,90.06,Central Heat Pump (shared ducts),Electricity,
262098,-101.6941179,11.22,143,-13,130.68,8.6,14,6,1,0.5,115.6131892,1950.0,952.0,South West,3634.0,2725.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace with standalone ducts,Natural Gas,Yes
266476,-3285.176475,38.62,618,-413,205.2,5.2,46,15,-4,0.2,498.3749677,1900.0,1296.0,South East,5310.0,3982.5,50/50 Attic - Crawlspace (both unconditioned),0.0,0.0,82.64,93.91,Furnace / Central AC (shared ducts),Natural Gas,Yes
253331,220.153032,5.79,63,27,90.28,6.5,8,6,0,0.4,50.44013289,2005.0,2488.0,West,2467.0,1850.25,Attic (unconditioned),0.0,0.0,89.12,89.12,Central AC with standalone ducts,Natural Gas,No
272985,3559.440147,12.15,0,448,447.78,4.1,22,22,4,0.8,0.0,1988.0,2232.0,South,3203.0,2402.25,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,86.87,91.14,Central Heat Pump (shared ducts),Electricity,
267530,1768.334304,30.24,301,222,522.91,10.7,15,17,7,1.4,242.1103622,1938.0,2433.0,East,5385.45,4039.09,Intentionally Conditioned Space,0.0,0.0,99.71,99.71,Central AC with standalone ducts,Natural Gas,No
259941,7489.420568,25.56,0,942,942.17,4.8,44,44,3,0.7,0.0,1977.0,1200.0,North East,1172.0,879.0,Intentionally Conditioned Space,0.0,0.0,99.71,100.0,Central Heat Pump (shared ducts),Electricity,
254825,506.7998706,3.34,20,64,83.81,8.7,3,3,-1,0.3,16.15473844,1989.0,3530.0,South West,4090.0,3067.5,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,80.69,84.96,Central Heat Pump (shared ducts),Electricity,Yes
273824,2705.995222,9.23,0,340,340.41,5.3,14,14,3,0.6,0.0,1992.0,3036.0,West,2901.0,2175.75,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,82.29,86.22,Central Heat Pump (shared ducts),Electricity,
254092,4234.751244,14.45,0,533,532.73,3.0,29,31,8,1.8,0.0,1992.0,1235.0,South,1846.0,1384.5,Attic (unconditioned),0.0,0.0,84.17,84.17,Central Heat Pump (shared ducts),Electricity,
265707,838.2210226,2.87,0,105,105.45,3.4,7,7,0,0.0,0.0,1975.0,960.0,South,1581.0,1185.75,Crawlspace (unconditioned),0.0,0.0,83.56,83.56,Central Heat Pump (shared ducts),Electricity,
266613,1456.029055,4.97,0,183,183.17,5.8,7,8,6,1.2,0.0,1977.0,2100.0,South East,3061.0,2295.75,Basement (unconditioned),0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
